"longitude","latitude","genus","species","country"
-64.397087,-23.55788,"Rhodnius","Psammolestes coreodes","AR"
-64.890747,-24.650569,"Rhodnius","Psammolestes coreodes","AR"
-61.67514,-27.00244,"Rhodnius","Psammolestes coreodes","AR"
-61.166674,-26.783323,"Rhodnius","Psammolestes coreodes","AR"
-61.166674,-26.783323,"Rhodnius","Psammolestes coreodes","AR"
-61.66978,-27.00614,"Rhodnius","Psammolestes coreodes","AR"
-61.67046,-27.02979,"Rhodnius","Psammolestes coreodes","AR"
-61.25001,-29.016667,"Rhodnius","Psammolestes coreodes","AR"
-61.136111,-27.831383,"Rhodnius","Psammolestes coreodes","AR"
-61.136111,-27.831383,"Rhodnius","Psammolestes coreodes","AR"
-62.850026,-26.583305,"Rhodnius","Psammolestes coreodes","AR"
-62.850026,-26.583305,"Rhodnius","Psammolestes coreodes","AR"
-62.850026,-26.583305,"Rhodnius","Psammolestes coreodes","AR"
-62.850026,-26.583305,"Rhodnius","Psammolestes coreodes","AR"
-62.850026,-26.583305,"Rhodnius","Psammolestes coreodes","AR"
-61.530972,-27.08701,"Rhodnius","Psammolestes coreodes","AR"
-61.525194,-27.078611,"Rhodnius","Psammolestes coreodes","AR"
-61.53206,-27.08828,"Rhodnius","Psammolestes coreodes","AR"
-61.53206,-27.08781,"Rhodnius","Psammolestes coreodes","AR"
-61.51136,-27.13922,"Rhodnius","Psammolestes coreodes","AR"
-61.52519,-27.07861,"Rhodnius","Psammolestes coreodes","AR"
-61.52733,-27.083005,"Rhodnius","Psammolestes coreodes","AR"
-61.53253,-27.08914,"Rhodnius","Psammolestes coreodes","AR"
-61.54301,-27.08801,"Rhodnius","Psammolestes coreodes","AR"
-61.52614,-27.08111,"Rhodnius","Psammolestes coreodes","AR"
-61.541,-27.08403,"Rhodnius","Psammolestes coreodes","AR"
-61.53181,-27.08201,"Rhodnius","Psammolestes coreodes","AR"
-61.51901,-27.08421,"Rhodnius","Psammolestes coreodes","AR"
-63.79752,-22.516486,"Rhodnius","Psammolestes coreodes","AR"
-64.45,-22.8833,"Rhodnius","Psammolestes coreodes","AR"
-64.9667,-25.8,"Rhodnius","Psammolestes coreodes","AR"
-63.521657,-22.349252,"Rhodnius","Psammolestes coreodes","AR"
-63.69157,-22.044983,"Rhodnius","Psammolestes coreodes","AR"
-64.9,-25.483333,"Rhodnius","Psammolestes coreodes","AR"
-62.593917,-23.610157,"Rhodnius","Psammolestes coreodes","AR"
-62.8,-22.5583,"Rhodnius","Psammolestes coreodes","AR"
-64.1833,-25.0833,"Rhodnius","Psammolestes coreodes","AR"
-66.976667,-30.105556,"Rhodnius","Psammolestes coreodes","AR"
-64.333305,-26.083295,"Rhodnius","Psammolestes coreodes","AR"
-64.316983,-26.100356,"Rhodnius","Psammolestes coreodes","AR"
-64.6833,-24.2833,"Rhodnius","Psammolestes coreodes","AR"
-64.75001,-26.50001,"Rhodnius","Psammolestes coreodes","AR"
-64.78331,-26.40001,"Rhodnius","Psammolestes coreodes","AR"
-63.466705,-29.366686,"Rhodnius","Psammolestes coreodes","AR"
-63.466705,-29.366686,"Rhodnius","Psammolestes coreodes","AR"
-63.466705,-29.366686,"Rhodnius","Psammolestes coreodes","AR"
-63.466705,-29.366686,"Rhodnius","Psammolestes coreodes","AR"
-63.466705,-29.366686,"Rhodnius","Psammolestes coreodes","AR"
-65.00001,-27.28331,"Rhodnius","Psammolestes coreodes","AR"
-65.56671,-27.30001,"Rhodnius","Psammolestes coreodes","AR"
-65.700016,-27.333305,"Rhodnius","Psammolestes coreodes","AR"
-37.249313,-9.911277,"Rhodnius","Psammolestes tertius","BR"
-37.274444,-6.587222,"Rhodnius","Psammolestes tertius","BR"
-37.263611,-6.573889,"Rhodnius","Psammolestes tertius","BR"
-37.278055,-9.909444,"Rhodnius","Psammolestes tertius","BR"
-53.716667,-23.250001,"Rhodnius","Psammolestes tertius","BR"
-37.278055,-9.909444,"Rhodnius","Psammolestes tertius","BR"
-39.42977,-12.76308,"Rhodnius","Psammolestes tertius","BR"
-47.33571,-15.54064,"Rhodnius","Psammolestes tertius","BR"
-41.76065,-10.0451,"Rhodnius","Psammolestes tertius","BR"
-42.48588,-14.06487,"Rhodnius","Psammolestes tertius","BR"
-39.96955,-13.52818,"Rhodnius","Psammolestes tertius","BR"
-40.20598,-12.76708,"Rhodnius","Psammolestes tertius","BR"
-41.13693,-14.61585,"Rhodnius","Psammolestes tertius","BR"
-39.08904,-12.84743,"Rhodnius","Psammolestes tertius","BR"
-38.49089,-12.51273,"Rhodnius","Psammolestes tertius","BR"
-38.92113,-12.77729,"Rhodnius","Psammolestes tertius","BR"
-44.00802,-12.70384,"Rhodnius","Psammolestes tertius","BR"
-40.296794,-7.183303,"Rhodnius","Psammolestes tertius","BR"
-45.976898,-20.006399,"Rhodnius","Psammolestes tertius","BR"
-45.976898,-20.006399,"Rhodnius","Psammolestes tertius","BR"
-45.976898,-20.006399,"Rhodnius","Psammolestes tertius","BR"
-45.976898,-20.006399,"Rhodnius","Psammolestes tertius","BR"
-43.889702,-19.627199,"Rhodnius","Psammolestes tertius","BR"
-40.292801,-6.00306,"Rhodnius","Psammolestes tertius","BR"
-40.292801,-6.00306,"Rhodnius","Psammolestes tertius","BR"
-40.292801,-6.00306,"Rhodnius","Psammolestes tertius","BR"
-40.292801,-6.00306,"Rhodnius","Psammolestes tertius","BR"
-40.292801,-6.00306,"Rhodnius","Psammolestes tertius","BR"
-37.397202,-6.66556,"Rhodnius","Psammolestes tertius","BR"
-37.397202,-6.66556,"Rhodnius","Psammolestes tertius","BR"
